DATE,TOTALDEMAND,PRICECATEGORY,min_temp,max_temp,rain,evap,sun,dir_max_wind,speed_max_wind,time_max_wind,9am_temp,9am_humid,9am_cloud,9am_wind_dir,9am_wind_speed,9am_press,3pm_temp,3pm_humid,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_press
26/02/2021,5401.33,MEDIUM,13.3,19.7,0.4,7,6.3,202.5,33,14:18,14.7,64,7,247.5,7,1014.5,18.6,49,5,180,17,1014.1
26/03/2021,5651.13,MEDIUM,11.2,22,0.2,2.8,6.5,0,33,12:05,13.3,77,1,45,9,1013.7,20.4,46,7,337.5,17,1011
26/04/2021,6436.32,EXTREME,10.9,17.9,1.2,2.2,0.8,202.5,20,10:50,13.6,83,7,225,6,1027.9,16.1,68,7,180,9,1027.1
26/05/2021,6801.36,EXTREME,11.9,14.7,5,3.4,1.4,292.5,39,5:45,13.1,60,7,292.5,11,1016.9,13.9,53,7,270,11,1019.7
26/06/2021,6404.33,HIGH,10,13.4,5.6,0.2,4.6,337.5,28,22:26,10.5,79,3,270,9,1019.9,12.4,56,3,247.5,9,1020.1
26/07/2021,6763.92,HIGH,8.1,16.4,0,1,2.9,337.5,43,10:41,12.4,75,7,0,13,1010.9,15.8,62,7,337.5,20,1009.7
26/08/2021,7126.76,EXTREME,5.5,12.9,1.2,2.4,1,135,31,12:54,9.2,82,7,-1,0,1022.7,12.2,55,7,157.5,13,1020.3
27/01/2021,5221.53,LOW,14.3,25.8,0.4,3.6,11.1,112.5,43,19:43,15.5,52,7,157.5,15,1016.5,23.4,37,1,157.5,19,1014.8
27/02/2021,4836.05,MEDIUM,11.3,18.6,0,6,1,202.5,20,17:50,13.5,71,7,22.5,6,1013.4,17.8,62,7,202.5,9,1012.8
27/03/2021,4860.61,MEDIUM,13.2,21.3,3.4,3.8,4.1,315,31,14:21,14.9,88,7,337.5,7,1010.8,19.9,44,2,292.5,7,1010.6
27/04/2021,6487.76,EXTREME,11.8,16.6,0.6,2,0.9,270,19,8:57,13.4,87,7,247.5,9,1029.5,16.3,73,7,202.5,11,1026.7
27/05/2021,6551,HIGH,9.8,15,0.4,1.6,0.6,270,33,14:15,11.3,94,7,202.5,4,1025.9,14.2,73,7,247.5,11,1025.3
27/06/2021,6381.64,HIGH,9.7,15.3,0,2.4,4.9,337.5,26,1:43,10.9,81,5,0,11,1025.9,13.6,75,5,202.5,9,1027
27/07/2021,6646.82,HIGH,10.1,17.1,0,3.4,4.3,0,67,21:40,11.1,67,2,0,19,1011.1,16.4,48,7,0,26,1003.7
27/08/2021,6769.89,EXTREME,4.6,13.6,0,1.2,3.8,202.5,15,12:18,7.7,88,7,-1,0,1020,12.8,65,7,157.5,7,1017.4
28/01/2021,5398.66,LOW,15.4,25.5,0,8,1.1,135,20,23:06,20.5,58,7,157.5,4,1017.3,24.8,53,8,135,7,1015.1
28/02/2021,5197.76,LOW,10.6,26.7,0,2.4,9.2,225,26,22:57,14,77,0,22.5,7,1013.4,26.1,38,5,225,9,1010
28/03/2021,5019.74,MEDIUM,12.4,20.2,0,4.4,3.9,202.5,24,11:10,14.2,76,6,337.5,7,1018.8,18.3,55,7,202.5,9,1018.6
28/04/2021,6461.27,EXTREME,7.4,16.9,0.4,3,9.5,202.5,22,15:03,12.3,87,1,-1,0,1026.4,14.8,70,5,180,13,1023.9
28/05/2021,6887.79,EXTREME,11,13.8,0.4,0.4,0.5,180,39,7:07,12.2,60,7,180,15,1031.8,12.7,59,7,180,11,1032.4
28/06/2021,7214.06,EXTREME,6.4,15.1,0,1.4,9,337.5,24,12:27,7.8,97,1,22.5,7,1032.8,14.6,53,1,22.5,9,1031
